MaSV,Ky,XepLoai,DiemHocTap,DiemNoiQuy,DiemYThucCongDan,DiemYThucHoatDong,TongDiem
20220127,2023.1    ,Khá                                               ,15,13,10,15,53
20220128,2023.1    ,Khá                                               ,24,11,20,10,65
20220129,2023.1    ,Khá                                               ,27,22,13,11,73
20220130,2023.1    ,Khá                                               ,27,15,18,14,74
20220131,2023.1    ,Khá                                               ,13,14,16,13,56
20220132,2023.1    ,Khá                                               ,13,23,11,16,63
20220133,2023.1    ,Khá                                               ,23,17,12,16,68
20220134,2023.1    ,Giỏi                                              ,26,24,22,15,87
20220135,2023.1    ,Khá                                               ,17,11,22,16,66
20220136,2023.1    ,Khá                                               ,24,12,13,11,60
20220137,2023.1    ,Khá                                               ,14,19,18,18,69
20220138,2023.1    ,Khá                                               ,18,20,12,11,61
20220139,2023.1    ,Khá                                               ,24,11,16,13,64
20220140,2023.1    ,Khá                                               ,19,16,16,10,61
20220141,2023.1    ,Khá                                               ,17,16,15,14,62
20220142,2023.1    ,Khá                                               ,16,21,17,16,70
20220143,2023.1    ,Khá                                               ,25,20,12,12,69
20220144,2023.1    ,Khá                                               ,27,13,19,15,74
20220145,2023.1    ,Khá                                               ,13,24,11,11,59
20220146,2023.1    ,Khá                                               ,26,11,16,17,70
20220147,2023.1    ,Khá                                               ,22,21,18,10,71
20220148,2023.1    ,Khá                                               ,15,15,11,12,53
20220149,2023.1    ,Khá                                               ,23,19,10,14,66
20220150,2023.1    ,Khá                                               ,20,16,21,14,71
20220151,2023.1    ,Khá                                               ,27,11,18,14,70
20220152,2023.1    ,Khá                                               ,22,19,19,16,76
20220153,2023.1    ,Khá                                               ,25,18,15,15,73
20220154,2023.1    ,Khá                                               ,21,13,24,15,73
20220155,2023.1    ,Khá                                               ,27,14,14,14,69
20220156,2023.1    ,Trung bình                                        ,11,10,15,10,46
20220157,2023.1    ,Khá                                               ,14,13,19,10,56
20220158,2023.1    ,Khá                                               ,28,19,10,17,74
20220159,2023.1    ,Khá                                               ,22,20,21,11,74
20220160,2023.1    ,Khá                                               ,28,17,11,11,67
20220161,2023.1    ,Khá                                               ,11,24,10,16,61
20220162,2023.1    ,Khá                                               ,12,17,19,13,61
20220163,2023.1    ,Giỏi                                              ,29,24,14,18,85
20220164,2023.1    ,Giỏi                                              ,26,24,16,18,84
20220165,2023.1    ,Khá                                               ,28,22,13,17,80
20220166,2023.1    ,Khá                                               ,23,14,10,13,60
20220167,2023.1    ,Khá                                               ,12,18,16,18,64
20220168,2023.1    ,Khá                                               ,21,19,20,11,71
20220169,2023.1    ,Khá                                               ,25,16,17,19,77
20220170,2023.1    ,Khá                                               ,17,11,12,18,58
20220171,2023.1    ,Khá                                               ,16,10,23,14,63
20220172,2023.1    ,Khá                                               ,11,16,14,19,60
20220173,2023.1    ,Khá                                               ,23,10,14,14,61
20220174,2023.1    ,Khá                                               ,26,20,17,12,75
20220175,2023.1    ,Khá                                               ,19,23,13,17,72
20220176,2023.1    ,Khá                                               ,23,15,16,14,68
20220177,2023.1    ,Khá                                               ,12,15,12,12,51
20220178,2023.1    ,Khá                                               ,17,14,14,19,64
20220179,2023.1    ,Khá                                               ,28,23,18,10,79
20220180,2023.1    ,Khá                                               ,23,18,17,16,74
20220181,2023.1    ,Khá                                               ,27,12,14,17,70
20220182,2023.1    ,Khá                                               ,26,11,22,19,78
20220183,2023.1    ,Khá                                               ,13,18,22,12,65
20220184,2023.1    ,Khá                                               ,14,11,21,12,58
20220185,2023.1    ,Khá                                               ,16,12,20,18,66
20220186,2023.1    ,Khá                                               ,29,19,10,15,73
20220187,2023.1    ,Khá                                               ,21,22,21,14,78
20220188,2023.1    ,Khá                                               ,11,22,23,13,69
20220189,2023.1    ,Khá                                               ,12,10,23,10,55
20220190,2023.1    ,Khá                                               ,20,13,14,15,62
20220191,2023.1    ,Khá                                               ,13,23,17,16,69
20220192,2023.1    ,Khá                                               ,17,12,23,16,68
20220193,2023.1    ,Khá                                               ,16,13,21,15,65
20220194,2023.1    ,Khá                                               ,22,13,19,12,66
20220195,2023.1    ,Khá                                               ,14,13,17,10,54
20220196,2023.1    ,Khá                                               ,13,11,21,14,59
20220197,2023.1    ,Khá                                               ,29,11,11,14,65
20220198,2023.1    ,Trung bình                                        ,15,10,14,11,50
20220199,2023.1    ,Khá                                               ,16,16,12,12,56
20220200,2023.1    ,Khá                                               ,18,14,12,13,57
20220201,2023.1    ,Khá                                               ,23,20,22,13,78
20220202,2023.1    ,Khá                                               ,24,18,16,12,70
20220203,2023.1    ,Khá                                               ,26,15,21,11,73
20220204,2023.1    ,Giỏi                                              ,25,24,19,14,82
20220205,2023.1    ,Khá                                               ,16,20,12,15,63
20220206,2023.1    ,Khá                                               ,17,14,18,11,60
20220207,2023.1    ,Giỏi                                              ,25,17,23,18,83
20220208,2023.1    ,Khá                                               ,19,20,17,19,75
20220209,2023.1    ,Khá                                               ,25,18,21,11,75
20220210,2023.1    ,Khá                                               ,19,16,23,15,73
20220211,2023.1    ,Khá                                               ,27,14,11,18,70
20220212,2023.1    ,Khá                                               ,20,22,11,19,72
20220213,2023.1    ,Khá                                               ,27,15,23,15,80
20220214,2023.1    ,Khá                                               ,15,18,20,18,71
20220215,2023.1    ,Trung bình                                        ,13,10,16,11,50
20220216,2023.1    ,Khá                                               ,13,11,18,19,61
20220217,2023.1    ,Khá                                               ,19,13,15,14,61
20220218,2023.1    ,Khá                                               ,10,23,24,19,76
20220219,2023.1    ,Khá                                               ,18,16,15,16,65
20220220,2023.1    ,Khá                                               ,22,19,16,12,69
20220221,2023.1    ,Khá                                               ,16,18,14,16,64
20220222,2023.1    ,Khá                                               ,25,12,16,15,68
20220223,2023.1    ,Khá                                               ,18,17,15,14,64
20220224,2023.1    ,Khá                                               ,13,10,16,13,52
20220225,2023.1    ,Khá                                               ,27,19,16,16,78
20220226,2023.1    ,Khá                                               ,29,22,13,12,76
20220227,2023.1    ,Khá                                               ,20,15,20,12,67
20220228,2023.1    ,Trung bình                                        ,16,10,10,12,48
20220229,2023.1    ,Khá                                               ,21,12,15,15,63
20220230,2023.1    ,Khá                                               ,27,13,11,17,68
20220231,2023.1    ,Khá                                               ,17,18,21,19,75
20220232,2023.1    ,Khá                                               ,28,16,10,13,67
20220233,2023.1    ,Khá                                               ,14,24,10,19,67
20220234,2023.1    ,Khá                                               ,24,21,23,11,79
20220235,2023.1    ,Khá                                               ,13,17,18,18,66
20220236,2023.1    ,Giỏi                                              ,27,23,17,19,86
20220237,2023.1    ,Khá                                               ,17,17,21,16,71
20220238,2023.1    ,Khá                                               ,28,14,18,16,76
20220239,2023.1    ,Khá                                               ,18,13,14,14,59
20220240,2023.1    ,Giỏi                                              ,25,24,23,13,85
20220241,2023.1    ,Khá                                               ,14,11,20,18,63
20220242,2023.1    ,Khá                                               ,24,18,10,19,71
20220243,2023.1    ,Giỏi                                              ,24,24,23,16,87
20220244,2023.1    ,Khá                                               ,16,13,24,14,67
20220245,2023.1    ,Khá                                               ,25,18,19,15,77
20220246,2023.1    ,Khá                                               ,22,10,19,19,70
20220247,2023.1    ,Khá                                               ,11,22,24,14,71
20220248,2023.1    ,Khá                                               ,13,16,17,13,59
20220249,2023.1    ,Khá                                               ,17,23,16,15,71
20220250,2023.1    ,Khá                                               ,20,11,23,11,65
20220251,2023.1    ,Khá                                               ,11,20,24,16,71
20220252,2023.1    ,Khá                                               ,14,19,15,19,67
20220253,2023.1    ,Khá                                               ,16,14,21,14,65
20220254,2023.1    ,Khá                                               ,28,13,18,19,78
20220255,2023.1    ,Khá                                               ,13,18,10,13,54
20220256,2023.1    ,Khá                                               ,21,23,20,14,78
20220257,2023.1    ,Giỏi                                              ,28,21,17,19,85
20220258,2023.1    ,Khá                                               ,19,21,23,10,73
20220259,2023.1    ,Khá                                               ,13,20,18,11,62
20220260,2023.1    ,Khá                                               ,19,16,11,16,62
20220261,2023.1    ,Khá                                               ,25,18,12,15,70
20220262,2023.1    ,Khá                                               ,19,11,18,15,63
20220263,2023.1    ,Khá                                               ,29,16,24,10,79
20220264,2023.1    ,Khá                                               ,11,12,17,12,52
20220265,2023.1    ,Khá                                               ,21,19,14,12,66
20220266,2023.1    ,Khá                                               ,12,19,17,10,58
20220267,2023.1    ,Khá                                               ,18,24,24,14,80
20220268,2023.1    ,Khá                                               ,16,23,19,15,73
20220269,2023.1    ,Giỏi                                              ,29,22,20,14,85
20220270,2023.1    ,Khá                                               ,26,10,19,12,67
20220271,2023.1    ,Khá                                               ,12,20,12,14,58
20220272,2023.1    ,Khá                                               ,18,13,21,12,64
20220273,2023.1    ,Trung bình                                        ,10,14,10,14,48
20220274,2023.1    ,Khá                                               ,25,13,19,15,72
20220275,2023.1    ,Khá                                               ,20,20,20,18,78
20220276,2023.1    ,Khá                                               ,24,15,19,12,70
20220277,2023.1    ,Khá                                               ,29,19,15,12,75
20220278,2023.1    ,Khá                                               ,20,11,24,11,66
20220279,2023.1    ,Giỏi                                              ,29,22,24,15,90
20220280,2023.1    ,Khá                                               ,26,12,21,19,78
20220281,2023.1    ,Khá                                               ,25,16,18,16,75
20220282,2023.1    ,Khá                                               ,20,17,15,19,71
20220283,2023.1    ,Khá                                               ,22,24,16,11,73
20220284,2023.1    ,Khá                                               ,20,18,13,13,64
20220285,2023.1    ,Khá                                               ,26,12,15,12,65
20220286,2023.1    ,Khá                                               ,21,20,19,12,72
20220287,2023.1    ,Khá                                               ,11,24,11,12,58
20220288,2023.1    ,Khá                                               ,27,19,16,16,78
20220289,2023.1    ,Khá                                               ,29,23,10,13,75
20220290,2023.1    ,Giỏi                                              ,17,24,21,19,81
20220291,2023.1    ,Giỏi                                              ,16,23,24,18,81
20220292,2023.1    ,Khá                                               ,24,24,13,17,78
20220293,2023.1    ,Khá                                               ,11,10,20,10,51
20220294,2023.1    ,Khá                                               ,22,21,18,19,80
20220295,2023.1    ,Khá                                               ,26,18,17,15,76
20220296,2023.1    ,Khá                                               ,15,21,10,18,64
20220297,2023.1    ,Khá                                               ,22,22,20,13,77
20220298,2023.1    ,Khá                                               ,28,10,18,11,67
20220299,2023.1    ,Khá                                               ,23,10,10,13,56
20220300,2023.1    ,Khá                                               ,27,11,18,19,75
